candidate,is_prime,divisor,remainder,divisible,P_A,P_D,P_0,agreement_density,disagreement_density,zero_density
4294967477,1,31,30,0,3,5,56,0.046875,0.078125,0.875
4294967497,1,3,1,0,1,5,58,0.015625,0.078125,0.90625
4294967497,1,5,2,0,1,5,58,0.015625,0.078125,0.90625
4294967497,1,7,2,0,1,6,57,0.015625,0.09375,0.890625
4294967497,1,11,7,0,2,4,58,0.03125,0.0625,0.90625
4294967497,1,13,2,0,2,4,58,0.03125,0.0625,0.90625
4294967497,1,17,15,0,1,5,58,0.015625,0.078125,0.90625
4294967497,1,19,17,0,1,6,57,0.015625,0.09375,0.890625
4294967497,1,23,6,0,1,7,56,0.015625,0.109375,0.875
4294967497,1,29,14,0,2,5,57,0.03125,0.078125,0.890625
4294967497,1,31,19,0,2,6,56,0.03125,0.09375,0.875
4294967513,1,3,2,0,1,6,57,0.015625,0.09375,0.890625
4294967513,1,5,3,0,1,6,57,0.015625,0.09375,0.890625
4294967513,1,7,4,0,1,7,56,0.015625,0.109375,0.875
4294967513,1,11,1,0,2,5,57,0.03125,0.078125,0.890625
4294967513,1,13,5,0,2,5,57,0.03125,0.078125,0.890625
4294967513,1,17,14,0,2,4,58,0.03125,0.0625,0.90625
4294967513,1,19,14,0,2,5,57,0.03125,0.078125,0.890625
4294967513,1,23,22,0,2,6,56,0.03125,0.09375,0.875
4294967513,1,29,1,0,3,4,57,0.046875,0.0625,0.890625
4294967513,1,31,4,0,3,5,56,0.046875,0.078125,0.875
4294967539,1,3,1,0,2,5,57,0.03125,0.078125,0.890625
4294967539,1,5,4,0,1,7,56,0.015625,0.109375,0.875
4294967539,1,7,2,0,2,6,56,0.03125,0.09375,0.875
4294967539,1,11,5,0,2,6,56,0.03125,0.09375,0.875
4294967539,1,13,5,0,1,8,55,0.015625,0.125,0.859375
4294967539,1,17,6,0,2,5,57,0.03125,0.078125,0.890625
4294967539,1,19,2,0,3,4,57,0.046875,0.0625,0.890625
4294967539,1,23,2,0,3,5,56,0.046875,0.078125,0.875
4294967539,1,29,27,0,2,7,55,0.03125,0.109375,0.859375
4294967539,1,31,30,0,3,6,55,0.046875,0.09375,0.859375
4294967543,1,3,2,0,2,6,56,0.03125,0.09375,0.875
4294967543,1,5,3,0,2,6,56,0.03125,0.09375,0.875
4294967543,1,7,6,0,3,5,56,0.046875,0.078125,0.875
4294967543,1,11,9,0,2,7,55,0.03125,0.109375,0.859375
4294967543,1,13,9,0,2,7,55,0.03125,0.109375,0.859375
4294967543,1,17,10,0,2,6,56,0.03125,0.09375,0.875
4294967543,1,19,6,0,3,5,56,0.046875,0.078125,0.875
4294967543,1,23,6,0,4,4,56,0.0625,0.0625,0.875
4294967543,1,29,2,0,3,6,55,0.046875,0.09375,0.859375
4294967543,1,31,3,0,4,5,55,0.0625,0.078125,0.859375
4294967549,1,3,2,0,1,8,55,0.015625,0.125,0.859375
4294967549,1,5,4,0,2,6,56,0.03125,0.09375,0.875
4294967549,1,7,5,0,2,7,55,0.03125,0.109375,0.859375
4294967549,1,11,4,0,2,7,55,0.03125,0.109375,0.859375
4294967549,1,13,2,0,3,5,56,0.046875,0.078125,0.875
4294967549,1,17,16,0,2,6,56,0.03125,0.09375,0.875
4294967549,1,19,12,0,2,7,55,0.03125,0.109375,0.859375
4294967549,1,23,12,0,3,6,55,0.046875,0.09375,0.859375
4294967549,1,29,8,0,4,4,56,0.0625,0.0625,0.875
4294967549,1,31,9,0,4,5,55,0.0625,0.078125,0.859375
4294967561,1,3,2,0,1,4,59,0.015625,0.0625,0.921875
4294967561,1,5,1,0,1,4,59,0.015625,0.0625,0.921875
4294967561,1,7,3,0,1,5,58,0.015625,0.078125,0.90625
4294967561,1,11,5,0,2,3,59,0.03125,0.046875,0.921875
4294967561,1,13,1,0,2,3,59,0.03125,0.046875,0.921875
4294967561,1,17,11,0,1,4,59,0.015625,0.0625,0.921875
4294967561,1,19,5,0,1,5,58,0.015625,0.078125,0.90625
4294967561,1,23,1,0,1,6,57,0.015625,0.09375,0.890625
4294967561,1,29,20,0,2,4,58,0.03125,0.0625,0.90625
4294967561,1,31,21,0,2,5,57,0.03125,0.078125,0.890625
4294967563,1,3,1,0,2,3,59,0.03125,0.046875,0.921875
4294967563,1,5,3,0,1,5,58,0.015625,0.078125,0.90625
4294967563,1,7,5,0,2,4,58,0.03125,0.0625,0.90625
4294967563,1,11,7,0,3,2,59,0.046875,0.03125,0.921875
4294967563,1,13,3,0,2,4,58,0.03125,0.0625,0.90625
4294967563,1,17,13,0,1,5,58,0.015625,0.078125,0.90625
4294967563,1,19,7,0,2,4,58,0.03125,0.0625,0.90625
4294967563,1,23,3,0,2,5,57,0.03125,0.078125,0.890625
4294967563,1,29,22,0,2,5,57,0.03125,0.078125,0.890625
4294967563,1,31,23,0,3,4,57,0.046875,0.0625,0.890625
4294967569,1,3,1,0,1,4,59,0.015625,0.0625,0.921875
4294967569,1,5,4,0,1,4,59,0.015625,0.0625,0.921875
4294967569,1,7,4,0,1,5,58,0.015625,0.078125,0.90625
4294967569,1,11,2,0,1,5,58,0.015625,0.078125,0.90625
4294967569,1,13,9,0,1,5,58,0.015625,0.078125,0.90625
4294967569,1,17,2,0,2,2,60,0.03125,0.03125,0.9375
4294967569,1,19,13,0,2,3,59,0.03125,0.046875,0.921875
4294967569,1,23,9,0,2,4,58,0.03125,0.0625,0.90625
4294967569,1,29,28,0,2,4,58,0.03125,0.0625,0.90625
4294967569,1,31,29,0,2,5,57,0.03125,0.078125,0.890625
4294967597,1,3,2,0,1,6,57,0.015625,0.09375,0.890625
4294967597,1,5,2,0,2,4,58,0.03125,0.0625,0.90625
4294967597,1,7,4,0,2,5,57,0.03125,0.078125,0.890625
4294967597,1,11,8,0,2,5,57,0.03125,0.078125,0.890625
4294967597,1,13,11,0,3,3,58,0.046875,0.046875,0.90625
4294967597,1,17,13,0,1,6,57,0.015625,0.09375,0.890625
4294967597,1,19,3,0,1,7,56,0.015625,0.109375,0.875
4294967597,1,23,14,0,2,6,56,0.03125,0.09375,0.875
4294967597,1,29,27,0,3,4,57,0.046875,0.0625,0.890625
4294967597,1,31,26,0,3,5,56,0.046875,0.078125,0.875
4294967627,1,3,2,0,2,4,58,0.03125,0.0625,0.90625
4294967627,1,5,2,0,1,6,57,0.015625,0.09375,0.890625
4294967627,1,7,6,0,2,5,57,0.03125,0.078125,0.890625
4294967627,1,11,5,0,3,3,58,0.046875,0.046875,0.90625
4294967627,1,13,2,0,2,5,57,0.03125,0.078125,0.890625
4294967627,1,17,9,0,1,6,57,0.015625,0.09375,0.890625
4294967627,1,19,14,0,2,5,57,0.03125,0.078125,0.890625
4294967627,1,23,21,0,2,6,56,0.03125,0.09375,0.875
4294967627,1,29,28,0,2,6,56,0.03125,0.09375,0.875
4294967627,1,31,25,0,3,5,56,0.046875,0.078125,0.875
4294967639,1,3,2,0,2,5,57,0.03125,0.078125,0.890625
4294967639,1,5,4,0,2,5,57,0.03125,0.078125,0.890625
4294967639,1,7,4,0,3,4,57,0.046875,0.0625,0.890625
4294967639,1,11,6,0,2,6,56,0.03125,0.09375,0.875
4294967639,1,13,1,0,2,6,56,0.03125,0.09375,0.875
4294967639,1,17,4,0,2,5,57,0.03125,0.078125,0.890625
4294967639,1,19,7,0,3,4,57,0.046875,0.0625,0.890625
4294967639,1,23,10,0,4,3,57,0.0625,0.046875,0.890625
4294967639,1,29,11,0,3,5,56,0.046875,0.078125,0.875
4294967639,1,31,6,0,4,4,56,0.0625,0.0625,0.875
4294967653,1,3,1,0,1,6,57,0.015625,0.09375,0.890625
4294967653,1,5,3,0,2,4,58,0.03125,0.0625,0.90625
4294967653,1,7,4,0,2,5,57,0.03125,0.078125,0.890625
4294967653,1,11,9,0,1,7,56,0.015625,0.109375,0.875
4294967653,1,13,2,0,2,5,57,0.03125,0.078125,0.890625
4294967653,1,17,1,0,1,6,57,0.015625,0.09375,0.890625
4294967653,1,19,2,0,1,7,56,0.015625,0.109375,0.875
4294967653,1,23,1,0,2,6,56,0.03125,0.09375,0.875
4294967653,1,29,25,0,2,6,56,0.03125,0.09375,0.875
4294967653,1,31,20,0,2,7,55,0.03125,0.109375,0.859375
4294967681,1,3,2,0,1,4,59,0.015625,0.0625,0.921875
4294967681,1,5,1,0,1,4,59,0.015625,0.0625,0.921875
4294967681,1,7,4,0,1,5,58,0.015625,0.078125,0.90625
4294967681,1,11,4,0,1,5,58,0.015625,0.078125,0.90625
4294967681,1,13,4,0,1,5,58,0.015625,0.078125,0.90625
4294967681,1,17,12,0,1,4,59,0.015625,0.0625,0.921875
4294967681,1,19,11,0,1,5,58,0.015625,0.078125,0.90625
4294967681,1,23,6,0,1,6,57,0.015625,0.09375,0.890625
4294967681,1,29,24,0,1,6,57,0.015625,0.09375,0.890625
4294967681,1,31,17,0,1,7,56,0.015625,0.109375,0.875
4294967687,1,3,2,0,2,4,58,0.03125,0.0625,0.90625
4294967687,1,5,2,0,2,4,58,0.03125,0.0625,0.90625
4294967687,1,7,3,0,3,3,58,0.046875,0.046875,0.90625
4294967687,1,11,10,0,2,5,57,0.03125,0.078125,0.890625
4294967687,1,13,10,0,2,5,57,0.03125,0.078125,0.890625
4294967687,1,17,1,0,1,6,57,0.015625,0.09375,0.890625
4294967687,1,19,17,0,2,5,57,0.03125,0.078125,0.890625
4294967687,1,23,12,0,3,4,57,0.046875,0.0625,0.890625
4294967687,1,29,1,0,2,6,56,0.03125,0.09375,0.875
4294967687,1,31,23,0,3,5,56,0.046875,0.078125,0.875
4294967701,1,3,1,0,1,6,57,0.015625,0.09375,0.890625
4294967701,1,5,1,0,2,4,58,0.03125,0.0625,0.90625
4294967701,1,7,3,0,2,5,57,0.03125,0.078125,0.890625
4294967701,1,11,2,0,1,7,56,0.015625,0.109375,0.875
4294967701,1,13,11,0,2,5,57,0.03125,0.078125,0.890625
4294967701,1,17,15,0,2,4,58,0.03125,0.0625,0.90625
4294967701,1,19,12,0,2,5,57,0.03125,0.078125,0.890625
4294967701,1,23,3,0,3,4,57,0.046875,0.0625,0.890625
4294967701,1,29,15,0,3,4,57,0.046875,0.0625,0.890625
4294967701,1,31,6,0,3,5,56,0.046875,0.078125,0.875
4294967723,1,3,2,0,2,5,57,0.03125,0.078125,0.890625
4294967723,1,5,3,0,1,7,56,0.015625,0.109375,0.875
4294967723,1,7,4,0,2,6,56,0.03125,0.09375,0.875
4294967723,1,11,2,0,3,4,57,0.046875,0.0625,0.890625
4294967723,1,13,7,0,2,6,56,0.03125,0.09375,0.875
4294967723,1,17,3,0,1,7,56,0.015625,0.109375,0.875
4294967723,1,19,15,0,2,6,56,0.03125,0.09375,0.875
4294967723,1,23,2,0,2,7,55,0.03125,0.109375,0.859375
4294967723,1,29,8,0,2,7,55,0.03125,0.109375,0.859375
4294967723,1,31,28,0,3,6,55,0.046875,0.09375,0.859375
4294967759,1,3,2,0,2,6,56,0.03125,0.09375,0.875
4294967759,1,5,4,0,2,6,56,0.03125,0.09375,0.875
4294967759,1,7,5,0,3,5,56,0.046875,0.078125,0.875
4294967759,1,11,5,0,3,5,56,0.046875,0.078125,0.875
4294967759,1,13,4,0,3,5,56,0.046875,0.078125,0.875
4294967759,1,17,5,0,1,8,55,0.015625,0.125,0.859375
4294967759,1,19,13,0,2,7,55,0.03125,0.109375,0.859375
4294967759,1,23,15,0,3,6,55,0.046875,0.09375,0.859375
4294967759,1,29,15,0,3,6,55,0.046875,0.09375,0.859375
4294967759,1,31,2,0,4,5,55,0.0625,0.078125,0.859375
4294967779,1,3,1,0,2,5,57,0.03125,0.078125,0.890625
4294967779,1,5,4,0,1,7,56,0.015625,0.109375,0.875
4294967779,1,7,4,0,2,6,56,0.03125,0.09375,0.875
4294967779,1,11,3,0,2,6,56,0.03125,0.09375,0.875
4294967779,1,13,11,0,1,8,55,0.015625,0.125,0.859375
4294967779,1,17,8,0,1,7,56,0.015625,0.109375,0.875
4294967779,1,19,14,0,2,6,56,0.03125,0.09375,0.875
4294967779,1,23,12,0,2,7,55,0.03125,0.109375,0.859375
4294967779,1,29,6,0,1,9,54,0.015625,0.140625,0.84375
4294967779,1,31,22,0,2,8,54,0.03125,0.125,0.84375
4294967783,1,3,2,0,2,6,56,0.03125,0.09375,0.875
4294967783,1,5,3,0,2,6,56,0.03125,0.09375,0.875
4294967783,1,7,1,0,3,5,56,0.046875,0.078125,0.875
4294967783,1,11,7,0,2,7,55,0.03125,0.109375,0.859375
4294967783,1,13,2,0,2,7,55,0.03125,0.109375,0.859375
4294967783,1,17,12,0,1,8,55,0.015625,0.125,0.859375
4294967783,1,19,18,0,2,7,55,0.03125,0.109375,0.859375
4294967783,1,23,16,0,3,6,55,0.046875,0.09375,0.859375
4294967783,1,29,10,0,2,8,54,0.03125,0.125,0.84375
4294967783,1,31,26,0,3,7,54,0.046875,0.109375,0.84375
4294967791,1,3,1,0,2,7,55,0.03125,0.109375,0.859375
4294967791,1,5,1,0,2,7,55,0.03125,0.109375,0.859375
4294967791,1,7,2,0,3,6,55,0.046875,0.09375,0.859375
4294967791,1,11,4,0,3,6,55,0.046875,0.09375,0.859375
4294967791,1,13,10,0,3,6,55,0.046875,0.09375,0.859375
4294967791,1,17,3,0,1,9,54,0.015625,0.140625,0.84375
4294967791,1,19,7,0,2,8,54,0.03125,0.125,0.84375
4294967791,1,23,1,0,3,7,54,0.046875,0.109375,0.84375
4294967791,1,29,18,0,3,7,54,0.046875,0.109375,0.84375
4294967791,1,31,3,0,4,6,54,0.0625,0.09375,0.84375
4294967797,1,3,1,0,1,8,55,0.015625,0.125,0.859375
4294967797,1,5,2,0,2,6,56,0.03125,0.09375,0.875
4294967797,1,7,1,0,2,7,55,0.03125,0.109375,0.859375
4294967797,1,11,10,0,1,9,54,0.015625,0.140625,0.84375
4294967797,1,13,3,0,2,7,55,0.03125,0.109375,0.859375
4294967797,1,17,9,0,2,6,56,0.03125,0.09375,0.875
4294967797,1,19,13,0,2,7,55,0.03125,0.109375,0.859375
4294967797,1,23,7,0,3,6,55,0.046875,0.09375,0.859375
4294967797,1,29,24,0,3,6,55,0.046875,0.09375,0.859375
4294967797,1,31,9,0,3,7,54,0.046875,0.109375,0.84375
4294967821,1,3,1,0,1,5,58,0.015625,0.078125,0.90625
4294967821,1,5,1,0,2,3,59,0.03125,0.046875,0.921875
4294967821,1,7,4,0,2,4,58,0.03125,0.0625,0.90625
4294967821,1,11,1,0,2,4,58,0.03125,0.0625,0.90625
4294967821,1,13,1,0,3,2,59,0.046875,0.03125,0.921875
