coordinate,R_A,R_D,T,count,first_locations
"(87, 0, 0)",87,0,0,8,"[(56, 4, 5, 87, 87), (57, 4, 5, 87, 87), (58, 4, 5, 87, 87), (59, 4, 5, 87, 87), (60, 4, 5, 87, 87)]"
"(126, 0, 0)",126,0,0,8,"[(48, 6, 7, 126, 126), (49, 6, 7, 126, 126), (50, 6, 7, 126, 126), (51, 6, 7, 126, 126), (52, 6, 7, 126, 126)]"
"(28, 0, 0)",28,0,0,8,"[(56, 2, 3, 28, 28), (57, 2, 3, 28, 28), (58, 2, 3, 28, 28), (59, 2, 3, 28, 28), (60, 2, 3, 28, 28)]"
"(20, 0, 0)",20,0,0,8,"[(0, 0, 1, 20, 20), (1, 0, 1, 20, 20), (2, 0, 1, 20, 20), (3, 0, 1, 20, 20), (4, 0, 1, 20, 20)]"
"(123, 0, 0)",123,0,0,8,"[(24, 6, 7, 123, 123), (25, 6, 7, 123, 123), (26, 6, 7, 123, 123), (27, 6, 7, 123, 123), (28, 6, 7, 123, 123)]"
"(125, 0, 0)",125,0,0,8,"[(40, 6, 7, 125, 125), (41, 6, 7, 125, 125), (42, 6, 7, 125, 125), (43, 6, 7, 125, 125), (44, 6, 7, 125, 125)]"
"(85, 0, 0)",85,0,0,8,"[(40, 4, 5, 85, 85), (41, 4, 5, 85, 85), (42, 4, 5, 85, 85), (43, 4, 5, 85, 85), (44, 4, 5, 85, 85)]"
"(124, 0, 0)",124,0,0,8,"[(32, 6, 7, 124, 124), (33, 6, 7, 124, 124), (34, 6, 7, 124, 124), (35, 6, 7, 124, 124), (36, 6, 7, 124, 124)]"
"(84, 0, 0)",84,0,0,8,"[(32, 4, 5, 84, 84), (33, 4, 5, 84, 84), (34, 4, 5, 84, 84), (35, 4, 5, 84, 84), (36, 4, 5, 84, 84)]"
"(83, 0, 0)",83,0,0,8,"[(24, 4, 5, 83, 83), (25, 4, 5, 83, 83), (26, 4, 5, 83, 83), (27, 4, 5, 83, 83), (28, 4, 5, 83, 83)]"
"(122, 0, 0)",122,0,0,8,"[(16, 6, 7, 122, 122), (17, 6, 7, 122, 122), (18, 6, 7, 122, 122), (19, 6, 7, 122, 122), (20, 6, 7, 122, 122)]"
"(82, 0, 0)",82,0,0,8,"[(16, 4, 5, 82, 82), (17, 4, 5, 82, 82), (18, 4, 5, 82, 82), (19, 4, 5, 82, 82), (20, 4, 5, 82, 82)]"
"(121, 0, 0)",121,0,0,8,"[(8, 6, 7, 121, 121), (9, 6, 7, 121, 121), (10, 6, 7, 121, 121), (11, 6, 7, 121, 121), (12, 6, 7, 121, 121)]"
"(81, 0, 0)",81,0,0,8,"[(8, 4, 5, 81, 81), (9, 4, 5, 81, 81), (10, 4, 5, 81, 81), (11, 4, 5, 81, 81), (12, 4, 5, 81, 81)]"
"(120, 0, 0)",120,0,0,8,"[(0, 6, 7, 120, 120), (1, 6, 7, 120, 120), (2, 6, 7, 120, 120), (3, 6, 7, 120, 120), (4, 6, 7, 120, 120)]"
"(80, 0, 0)",80,0,0,8,"[(0, 4, 5, 80, 80), (1, 4, 5, 80, 80), (2, 4, 5, 80, 80), (3, 4, 5, 80, 80), (4, 4, 5, 80, 80)]"
"(127, 0, 0)",127,0,0,8,"[(56, 6, 7, 127, 127), (57, 6, 7, 127, 127), (58, 6, 7, 127, 127), (59, 6, 7, 127, 127), (60, 6, 7, 127, 127)]"
