Coordinate,R_A,R_D,T,Count,First_Locations
"(4, 11, 11)",4,11,11,2,"[(2, 5, 5), (6, 4, 3)]"
"(17, 12, 4)",17,12,4,2,"[(2, 5, 2), (5, 2, 0)]"
"(20, 11, 7)",20,11,7,2,"[(2, 3, 6), (3, 4, 5)]"
"(0, 10, 6)",0,10,6,2,"[(2, 3, 3), (4, 1, 6)]"
"(11, 4, 4)",11,4,4,2,"[(2, 2, 5), (6, 7, 0)]"
"(22, 9, 9)",22,9,9,2,"[(2, 0, 6), (7, 5, 0)]"
"(2, 29, 3)",2,29,3,2,"[(2, 0, 5), (4, 4, 3)]"
"(3, 24, 8)",3,24,8,2,"[(1, 7, 7), (7, 2, 5)]"
"(4, 17, 15)",4,17,15,2,"[(1, 7, 6), (3, 7, 6)]"
"(1, 10, 10)",1,10,10,2,"[(0, 0, 1), (1, 2, 5)]"
"(7, 24, 24)",7,24,24,2,"[(1, 6, 2), (4, 6, 2)]"
"(8, 22, 18)",8,22,18,2,"[(1, 6, 0), (3, 6, 0)]"
"(0, 23, 21)",0,23,21,2,"[(1, 4, 5), (7, 7, 3)]"
"(0, 4, 4)",0,4,4,2,"[(7, 5, 6), (7, 6, 6)]"
