step,module_i,module_j,A,B,R_A,R_D,T,coordinate,seen_count_after,is_reuse
6,3,6,21,120,16,109,99,"(16, 109, 99)",27,True
6,3,7,21,120,16,109,99,"(16, 109, 99)",28,True
6,4,5,80,80,80,0,0,"(80, 0, 0)",7,True
6,4,6,80,120,80,40,40,"(80, 40, 40)",25,True
6,4,7,80,120,80,40,40,"(80, 40, 40)",26,True
6,5,6,80,120,80,40,40,"(80, 40, 40)",27,True
6,5,7,80,120,80,40,40,"(80, 40, 40)",28,True
6,6,7,120,120,120,0,0,"(120, 0, 0)",7,True
7,0,1,20,20,20,0,0,"(20, 0, 0)",8,True
7,0,2,20,21,20,1,1,"(20, 1, 1)",29,True
7,0,3,20,21,20,1,1,"(20, 1, 1)",30,True
7,0,4,20,80,16,68,60,"(16, 68, 60)",29,True
7,0,5,20,80,16,68,60,"(16, 68, 60)",30,True
7,0,6,20,120,16,108,100,"(16, 108, 100)",29,True
7,0,7,20,120,16,108,100,"(16, 108, 100)",30,True
7,1,2,20,21,20,1,1,"(20, 1, 1)",31,True
7,1,3,20,21,20,1,1,"(20, 1, 1)",32,True
7,1,4,20,80,16,68,60,"(16, 68, 60)",31,True
7,1,5,20,80,16,68,60,"(16, 68, 60)",32,True
7,1,6,20,120,16,108,100,"(16, 108, 100)",31,True
7,1,7,20,120,16,108,100,"(16, 108, 100)",32,True
7,2,3,21,21,21,0,0,"(21, 0, 0)",8,True
7,2,4,21,80,16,69,59,"(16, 69, 59)",29,True
7,2,5,21,80,16,69,59,"(16, 69, 59)",30,True
7,2,6,21,120,16,109,99,"(16, 109, 99)",29,True
7,2,7,21,120,16,109,99,"(16, 109, 99)",30,True
7,3,4,21,80,16,69,59,"(16, 69, 59)",31,True
7,3,5,21,80,16,69,59,"(16, 69, 59)",32,True
7,3,6,21,120,16,109,99,"(16, 109, 99)",31,True
7,3,7,21,120,16,109,99,"(16, 109, 99)",32,True
7,4,5,80,80,80,0,0,"(80, 0, 0)",8,True
7,4,6,80,120,80,40,40,"(80, 40, 40)",29,True
7,4,7,80,120,80,40,40,"(80, 40, 40)",30,True
7,5,6,80,120,80,40,40,"(80, 40, 40)",31,True
7,5,7,80,120,80,40,40,"(80, 40, 40)",32,True
7,6,7,120,120,120,0,0,"(120, 0, 0)",8,True
8,0,1,21,21,21,0,0,"(21, 0, 0)",9,True
8,0,2,21,22,20,3,1,"(20, 3, 1)",1,False
8,0,3,21,22,20,3,1,"(20, 3, 1)",2,True
8,0,4,21,81,17,68,60,"(17, 68, 60)",1,False
8,0,5,21,81,17,68,60,"(17, 68, 60)",2,True
8,0,6,21,121,17,108,100,"(17, 108, 100)",1,False
8,0,7,21,121,17,108,100,"(17, 108, 100)",2,True
8,1,2,21,22,20,3,1,"(20, 3, 1)",3,True
8,1,3,21,22,20,3,1,"(20, 3, 1)",4,True
8,1,4,21,81,17,68,60,"(17, 68, 60)",3,True
8,1,5,21,81,17,68,60,"(17, 68, 60)",4,True
8,1,6,21,121,17,108,100,"(17, 108, 100)",3,True
8,1,7,21,121,17,108,100,"(17, 108, 100)",4,True
8,2,3,22,22,22,0,0,"(22, 0, 0)",1,False
8,2,4,22,81,16,71,59,"(16, 71, 59)",1,False
8,2,5,22,81,16,71,59,"(16, 71, 59)",2,True
8,2,6,22,121,16,111,99,"(16, 111, 99)",1,False
8,2,7,22,121,16,111,99,"(16, 111, 99)",2,True
8,3,4,22,81,16,71,59,"(16, 71, 59)",3,True
8,3,5,22,81,16,71,59,"(16, 71, 59)",4,True
8,3,6,22,121,16,111,99,"(16, 111, 99)",3,True
8,3,7,22,121,16,111,99,"(16, 111, 99)",4,True
8,4,5,81,81,81,0,0,"(81, 0, 0)",1,False
8,4,6,81,121,81,40,40,"(81, 40, 40)",1,False
8,4,7,81,121,81,40,40,"(81, 40, 40)",2,True
8,5,6,81,121,81,40,40,"(81, 40, 40)",3,True
8,5,7,81,121,81,40,40,"(81, 40, 40)",4,True
8,6,7,121,121,121,0,0,"(121, 0, 0)",1,False
9,0,1,21,21,21,0,0,"(21, 0, 0)",10,True
9,0,2,21,22,20,3,1,"(20, 3, 1)",5,True
9,0,3,21,22,20,3,1,"(20, 3, 1)",6,True
9,0,4,21,81,17,68,60,"(17, 68, 60)",5,True
9,0,5,21,81,17,68,60,"(17, 68, 60)",6,True
9,0,6,21,121,17,108,100,"(17, 108, 100)",5,True
9,0,7,21,121,17,108,100,"(17, 108, 100)",6,True
9,1,2,21,22,20,3,1,"(20, 3, 1)",7,True
9,1,3,21,22,20,3,1,"(20, 3, 1)",8,True
9,1,4,21,81,17,68,60,"(17, 68, 60)",7,True
9,1,5,21,81,17,68,60,"(17, 68, 60)",8,True
9,1,6,21,121,17,108,100,"(17, 108, 100)",7,True
9,1,7,21,121,17,108,100,"(17, 108, 100)",8,True
9,2,3,22,22,22,0,0,"(22, 0, 0)",2,True
9,2,4,22,81,16,71,59,"(16, 71, 59)",5,True
9,2,5,22,81,16,71,59,"(16, 71, 59)",6,True
